OBJECTID_12,OBJECTID_1,OBJECTID,DISTRICT,DISTNAME,CAMPUS,CAMPNAME,STREET_MAI,CITY_MAIL,ZIP_MAIL,CITY,ZIP,CNTYNAME,REGION,GRADERANGE,GRADEGRP,VERIFY,INSTR_TYPE,STREET_M_1,ADJUST,Shape
45,45,276,101919,SPRING ISD,101919103,PONDEROSA EL,17202 BUTTE CREEK RD,HOUSTON,77090,HOUSTON,77090,HARRIS COUNTY,4,EE-5,1,0,REGULAR,17202 BUTTE CREEK RD,Y,45
46,46,277,101919,SPRING ISD,101919104,JOHN WINSHIP EL,2175 SPRING CREEK DR,SPRING,77373,SPRING,77373,HARRIS COUNTY,4,PK-5,1,0,REGULAR,2175 SPRING CREEK DR,Y,46
47,47,278,101919,SPRING ISD,101919105,OAK CREEK EL,3975 GLADERIDGE DR,HOUSTON,77068,HOUSTON,77068,HARRIS COUNTY,4,EE-5,1,0,REGULAR,3975 GLADERIDGE DR,Y,47
48,48,279,101919,SPRING ISD,101919106,MEYER EL,16330 FOREST WAY DR,HOUSTON,77090,HOUSTON,77090,HARRIS COUNTY,4,EE-5,1,0,REGULAR,16330 FOREST WAY DR,Y,48
49,49,280,101919,SPRING ISD,101919107,MILDRED JENKINS EL,4615 REYNALDO DR,SPRING,77373,SPRING,77373,HARRIS COUNTY,4,EE-5,1,0,REGULAR,4615 REYNALDO DR,Y,49
50,50,281,101919,SPRING ISD,101919108,PEARL M HIRSCH EL,2633 TRAILING VINE RD,SPRING,77373,SPRING,77373,HARRIS COUNTY,4,EE-5,1,0,REGULAR,2633 TRAILING VINE RD,Y,50
51,51,282,101919,SPRING ISD,101919109,ANDERSON EL,6218 LYNNGATE DR,SPRING,77373,SPRING,77373,HARRIS COUNTY,4,EE-5,1,0,REGULAR,6218 LYNNGATE DR,Y,51
52,52,283,101919,SPRING ISD,101919110,JOAN LINK EL,2815 RIDGE HOLLOW DR,HOUSTON,77067,HOUSTON,77067,HARRIS COUNTY,4,EE-5,1,0,REGULAR,2815 RIDGE HOLLOW DR,Y,52
53,53,284,101919,SPRING ISD,101919111,SMITH EL,26000 CYPRESSWOOD DR,SPRING,77373,SPRING,77373,HARRIS COUNTY,4,EE-5,1,0,REGULAR,26000 CYPRESSWOOD DR,Y,53
54,54,285,101919,SPRING ISD,101919112,BENEKE EL,3840 BRIARCHASE DR,HOUSTON,77014,HOUSTON,77014,HARRIS COUNTY,4,EE-5,1,0,REGULAR,3840 BRIARCHASE DR,Y,54
55,55,286,101919,SPRING ISD,101919115,HERITAGE ELEMENTARY,12255 T C JESTER  BLVD,HOUSTON,77067,HOUSTON,77067,HARRIS COUNTY,4,EE-5,1,0,REGULAR,12255 T C JESTER  BLVD,Y,55
56,56,324,170906,MAGNOLIA ISD,170906012,ALPHA,PO BOX 329,MAGNOLIA,77353,MAGNOLIA,77355,MONTGOMERY COUNTY,6,12-Sep,4,1,ALTERNATIVE,PO BOX 329,Y,56
57,57,326,101920,SPRING BRANCH ISD,101920130,THE LION LANE SCHOOL,2210 RIDGECREST,HOUSTON,77055,HOUSTON,77055,HARRIS COUNTY,4,EE-PK,1,1,REGULAR,2210 RIDGECREST,Y,57
58,58,359,101848,NORTHWEST PREPARATORY,101848102,NORTHWEST PREPARATORY CAMPUS 2,8006 WILEYVALE,HOUSTON,77026,HOUSTON,77016,HARRIS COUNTY,4,PK-8,2,0,CHARTER/REGULAR,8006 WILEYVALE,Y,58
59,59,360,101903,ALIEF ISD,101903144,MILLER INTERMEDIATE,15025 WESTPARK,HOUSTON,77083,HOUSTON,77083,HARRIS COUNTY,4,6-May,2,1,REGULAR,15025 WESTPARK,Y,59
60,60,361,101907,CYPRESS-FAIRBANKS ISD,101907137,WALKER ELEMENTARY,6424 SETTLERS VILLAGE,KATY,77429,KATY,77449,HARRIS COUNTY,4,EE-5,1,0,REGULAR,6424 SETTLERS VILLAGE,Y,60
61,61,373,170902,CONROE ISD,170902053,BRANCH CROSSING JUNIOR HIGH SCHOOL,10010 BRANCH CROSSING DR,THE WOODLANDS,77354,THE WOODLANDS,77354,MONTGOMERY COUNTY,6,8-Jul,3,0,REGULAR,10010 BRANCH CROSSING DR,?,61
62,62,380,101917,PASADENA ISD,101917130,YOUNG EL,4221 FOX MEADOW LN,PASADENA,77504,PASADENA,77504,HARRIS COUNTY,4,KG-5,1,0,REGULAR,4221 FOX MEADOW LN,Y,62
63,63,381,101917,PASADENA ISD,101917134,WALTER MATTHYS EL,1500 MAIN ST,PASADENA,77501,SOUTH HOUSTON,77587,HARRIS COUNTY,4,PK-5,1,0,REGULAR,1500 MAIN ST,Y,63
64,64,382,101920,SPRING BRANCH ISD,101920012,SPRING BRANCH SCHOOL OF CHOICE,9016 WESTIEW,HOUSTON,77055,HOUSTON,77055,HARRIS COUNTY,4,12-Sep,5,1,ALTERNATIVE,9016 WESTIEW,Y,64
65,65,383,101921,TOMBALL ISD,101921104,TOMBALL ALTERNATIVE EDUCATION CENTER,1302 KEEFER ST,TOMBALL,77375,TOMBALL,77375,HARRIS COUNTY,4,EE-12,5,0,ALTERNATIVE,1302 KEEFER ST,Y,65
66,66,387,101925,HUFFMAN ISD,101925041,HUFFMAN MIDDLE,P O BOX 2390,HUFFMAN,77336,HUFFMAN,77336,HARRIS COUNTY,4,8-Jul,2,0,REGULAR,P O BOX 2390,Y,66
67,67,388,101925,HUFFMAN ISD,101925101,BOWEN EL,P O BOX 2390,HUFFMAN,77336,HUFFMAN,77336,HARRIS COUNTY,4,EE-3,1,0,REGULAR,P O BOX 2390,Y,67
68,68,392,101907,CYPRESS-FAIRBANKS ISD,101907153,SWENKE EL,P O BOX 692003,HOUSTON,77269,HOUSTON,77433,HARRIS COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,P O BOX 692003,Y,68
69,69,395,101919,SPRING ISD,101919125,HOYLAND EL,2200 WITTERSHAW DR,HOUSTON,77090,HOUSTON,77090,HARRIS COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,2200 WITTERSHAW DR,Y,69
70,70,396,101919,SPRING ISD,101919126,RALPH EICKENROHT EL,15252 GRAND POINT DR,HOUSTON,77090,HOUSTON,77090,HARRIS COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,15252 GRAND POINT DR,Y,70
71,71,398,101919,SPRING ISD,101919127,HELEN MAJOR EL,16855 SUGAR PINE DR,HOUSTON,77090,HOUSTON,77090,HARRIS COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,16855 SUGAR PINE DR,Y,71
72,72,406,101907,CYPRESS-FAIRBANKS ISD,101907012,CYPRESS RANCH HIGH SCHOOL,10700 FRY RD,CYPRESS,77433,CYPRESS,77433,HARRIS COUNTY,4,10-Sep,4,0,REGULAR INSTRUCTIONAL,10700 FRY RD,Y,72
73,73,407,101907,CYPRESS-FAIRBANKS ISD,101907013,CYPRESS LAKES HIGH SCHOOL,5750 GREENHOUSE RD,KATY,77449,KATY,77449,HARRIS COUNTY,4,11-Sep,4,0,REGULAR INSTRUCTIONAL,5750 GREENHOUSE RD,Y,73
74,74,408,101907,CYPRESS-FAIRBANKS ISD,101907151,HEMMENWAY ELEMENTARY,20400 W LITTLE YORK,KATY,77449,KATY,77449,HARRIS COUNTY,4,EE - 05,1,0,REGULAR INSTRUCTIONAL,20400 W LITTLE YORK,Y,74
75,75,409,101907,CYPRESS-FAIRBANKS ISD,101907152,ROBINSON ELEMENTARY,4321 WESTFIELD VILLAGE DR,KATY,77449,KATY,77449,HARRIS COUNTY,4,EE - 05,1,0,REGULAR INSTRUCTIONAL,4321 WESTFIELD VILLAGE DR,Y,75
76,76,440,170907,SPLENDORA ISD,170907104,PINEY WOODS EL,23419 FM 2090,SPLENDORA,77372,SPLENDORA,77372,MONTGOMERY COUNTY,6,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,23419 FM 2090,Y,76
77,77,458,20901,ALVIN ISD,20901104,LONGFELLOW ELEMENTARY,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,6-Apr,1,0,REGULAR,301 E HOUSE ST,Y,77
78,78,465,79907,FORT BEND ISD,79907144,DR LYNN ARMSTRONG EL,3250 INDEPENDENCE BLVD,MISSOURI CITY,77459,MISSOURI CITY,77459,FORT BEND COUNTY,4,EE - 06,1,0,REGULAR INSTRUCTIONAL,3250 INDEPENDENCE BLVD,Y,78
79,79,466,79907,FORT BEND ISD,79907148,JAN SCHIFF EL,7400 DISCOVERY LN,MISSOURI CITY,77459,MISSOURI CITY,77459,FORT BEND COUNTY,4,EE - 05,1,0,REGULAR INSTRUCTIONAL,7400 DISCOVERY LN,Y,79
80,80,471,101853,RIPLEY HOUSE CHARTER SCHOOL,101853105,HARBACH-RIPLEY CHARTER SCHOOL,4500 BISSONNET STE 200,BELLAIRE,77401,HOUSTON,77087,HARRIS COUNTY,4,KG - 03,1,0,REGULAR INSTRUCTIONAL,4500 BISSONNET STE 200,Y,80
81,81,472,101853,RIPLEY HOUSE CHARTER SCHOOL,101853106,BAKER-RIPLEY CHARTER SCHOOL,4500 BISSONNET STE 200,BELLAIRE,77401,HOUSTON,77074,HARRIS COUNTY,4,KG - 01,1,0,REGULAR INSTRUCTIONAL,4500 BISSONNET STE 200,Y,81
82,82,483,20901,ALVIN ISD,20901108,MELBA PASSMORE ELEMENTARY,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,EE-6,1,0,REGULAR,301 E HOUSE ST,Y,82
83,83,517,101907,CYPRESS-FAIRBANKS ISD,101907005,LANGHAM CREEK H S,17610 FM 529,HOUSTON,77095,HOUSTON,77095,HARRIS COUNTY,4,12-Sep,4,0,REGULAR,17610 FM 529,Y,83
84,84,518,101907,CYPRESS-FAIRBANKS ISD,101907048,TRUITT MIDDLE SCHOOL,6600 ADDICKS SATSUMA RD,HOUSTON,77084,HOUSTON,77084,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,6600 ADDICKS SATSUMA RD,Y,84
85,85,519,101909,NORTH FOREST ISD,101909104,LAKEWOOD ELEMENTARY,8800 GRAND RIVER DR,HOUSTON,77078,HOUSTON,77078,HARRIS COUNTY,4,PK-5,1,0,REGULAR,8800 GRAND RIVER DR,Y,85
86,86,520,101911,GOOSE CREEK CISD,101911005,ALTERNATIVE LEARNING,P O BOX 30,BAYTOWN,77522,BAYTOWN,77520,HARRIS COUNTY,4,12-Sep,4,0,ALTERNATIVE,P O BOX 30,Y,86
87,87,521,79907,FORT BEND ISD,79907011,GEORGE BUSH HIGH SCHOOL,16431 LEXINGTON BLVD,SUGAR LAND,77479,RICHMOND,77469,FORT BEND COUNTY,4,12-Sep,4,0,REGULAR,16431 LEXINGTON BLVD,Y,87
88,88,529,101913,HUMBLE ISD,101913124,FALL CREEK EL,14435 MESA RD,HUMBLE,77396,HUMBLE,77396,HARRIS COUNTY,4,EE - 05,1,0,REGULAR INSTRUCTIONAL,14435 MESA RD,Y,88
89,89,532,79901,LAMAR CISD,79901123,H F MCNEILL EL,7300 S MASON RD,RICHMOND,77407,RICHMOND,77407,FORT BEND COUNTY,4,EE - 05,1,0,REGULAR INSTRUCTIONAL,7300 S MASON RD,Y,89
90,90,533,101914,KATY ISD,101914051,CARDIFF JUNIOR HIGH,3900 DAYFLORWER DR,KATY,77449,KATY,77449,HARRIS COUNTY,4,8-Jun,2,0,REGULAR INSTRUCTIONAL,3900 DAYFLORWER DR,Y,90
91,91,534,101914,KATY ISD,101914052,WOODCREEK JUNIOR HIGH,1801 WOOD CREEK BEND LN,KATY,77494,KATY,77494,HARRIS COUNTY,4,8-Jun,2,0,REGULAR INSTRUCTIONAL,1801 WOOD CREEK BEND LN,Y,91
92,92,535,101914,KATY ISD,101914130,MORTON RANCH ELEMENTARY,2502 MASON RD,KATY,77449,KATY,77449,HARRIS COUNTY,4,PK - 05,1,0,REGULAR INSTRUCTIONAL,2502 MASON RD,Y,92
93,93,536,101914,KATY ISD,101914131,BONNIE HOLLAND ELEMENTARY,23720 SEVEN MEADOW PKWY,KATY,77449,KATY,77449,HARRIS COUNTY,4,EE - 05,1,0,REGULAR INSTRUCTIONAL,23720 SEVEN MEADOW PKWY,Y,93
94,94,554,101921,TOMBALL ISD,101921111,CANYON POINTE ELEMENTARY SCHOOL,13002 NORTHPOINTE BLVD,TOMBALL,77377,TOMBALL,77377,HARRIS COUNTY,4,EE - 04,1,0,REGULAR INSTRUCTIONAL,13002 NORTHPOINTE BLVD,Y,94
95,95,555,101924,SHELDON ISD,101924109,H M CARROLL EL,11411 C E KING PKWY,HOUSTON,77044,HOUSTON,77044,HARRIS COUNTY,4,5-Jan,1,0,REGULAR INSTRUCTIONAL,11411 C E KING PKWY,Y,95
96,96,577,101813,KIPP INC CHARTER,101813042,KIPP SHARPSTOWN COLLEGE PREPARATORY,10711 KIPP WAY,HOUSTON,77099,HOUSTON,77063,HARRIS COUNTY,4,6-Jun,2,0,REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,96
97,97,578,101813,KIPP INC CHARTER,101813043,KIPP POLARIS ACADEMY FOR BOYS,10711 KIPP WAY,HOUSTON,77099,HOUSTON,77078,HARRIS COUNTY,4,6-Jun,2,0,REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,97
98,98,579,101813,KIPP INC CHARTER,101813003,KIPP HOUSTON HIGH SCHOOL,10711 KIPP WAY,HOUSTON,77099,HOUSTON,77099,HARRIS COUNTY,4,12-Sep,4,0,REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,98
99,99,580,101813,KIPP INC CHARTER,101813109,KIPP EAST END,10711 KIPP WAY,HOUSTON,77099,HOUSTON,77023,HARRIS COUNTY,4,5-May,1,0,REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,99
100,100,586,20901,ALVIN ISD,20901045,NOLAN RYAN J H,301 E HOUSE ST,ALVIN,77511,PEARLAND,77584,BRAZORIA COUNTY,4,8-Jun,2,0,REGULAR INSTRUCTIONAL,301 E HOUSE ST,Y,100
101,101,587,20901,ALVIN ISD,20901046,FAIRVIEW J H,301 E HOUSE ST,ALVIN,77511,ALVIN,77511,BRAZORIA COUNTY,4,8-Jun,2,0,REGULAR INSTRUCTIONAL,301 E HOUSE ST,Y,101
102,102,588,20901,ALVIN ISD,20901113,SAVANNAH LAKES EL,301 E HOUSE ST,ALVIN,77511,PEARLAND,77584,BRAZORIA COUNTY,4,EE - 05,1,0,REGULAR INSTRUCTIONAL,301 E HOUSE ST,Y,102
103,103,605,101917,PASADENA ISD,101917140,MELILLO MIDDLE SCHOOL,3003 DABNEY,PASADENA,77502,PASADENA,77089,HARRIS COUNTY,4,6-May,2,0,REGULAR INSTRUCTIONAL,3003 DABNEY,Y,103
104,104,606,101917,PASADENA ISD,101917143,BOBBY SHAW MIDDLE SCHOOL,1515 CHERRYBROOK,PASADENA,77502,PASADENS,77502,HARRIS COUNTY,4,6-May,2,0,REGULAR INSTRUCTIONAL,1515 CHERRYBROOK,Y,104
105,105,607,101917,PASADENA ISD,101917144,KELLER MIDDLE SCHOOL,3102 SAN AUGUSTINE,PASADENA,77503,PASADENA,77053,HARRIS COUNTY,4,6-May,2,0,REGULAR INSTRUCTIONAL,3102 SAN AUGUSTINE,Y,105
106,106,608,101919,SPRING ISD,101919050,EDWARD ROBERSON MIDDLE,1500 SOUTHRIDGE,HOUSTON,77090,HOUSTON,77090,HARRIS COUNTY,4,8-Jun,2,0,REGULAR INSTRUCTIONAL,1500 SOUTHRIDGE,Y,106
107,107,609,101912,HOUSTON ISD,101912321,ENERGIZED FOR STEM ACADEMY,3703 SAMPSON,HOUSTON,77004,HOUSTON,77004,HARRIS COUNTY,4,9-Sep,4,0,REGULAR INSTRUCTIONAL,3703 SAMPSON,Y,107
